Data [date=31-May-2021, shopId=6581.0, shiftBig=1.0, shiftSmall=11.0, shiftName=null, headCount=null, timeShiftSmall=null, timeShiftBig=null, jobName=null, loaiCV=null, tcCV=null, soNguoiLam=null, soPhutHoanThanh=null, gioBD=null, phutBD=null, gioKT=null, phutKT=null]
Data [date=31-May-2021, shopId=6581.0, shiftBig=1.0, shiftSmall=11.0, shiftName=null, headCount=null, timeShiftSmall=null, timeShiftBig=null, jobName=null, loaiCV=null, tcCV=null, soNguoiLam=null, soPhutHoanThanh=null, gioBD=null, phutBD=null, gioKT=null, phutKT=null]
Data [date=31-May-2021, shopId=6581.0, shiftBig=1.0, shiftSmall=11.0, shiftName=null, headCount=null, timeShiftSmall=null, timeShiftBig=null, jobName=null, loaiCV=null, tcCV=null, soNguoiLam=null, soPhutHoanThanh=null, gioBD=null, phutBD=null, gioKT=null, phutKT=null]
Data [date=31-May-2021, shopId=6581.0, shiftBig=1.0, shiftSmall=11.0, shiftName=null, headCount=null, timeShiftSmall=null, timeShiftBig=null, jobName=null, loaiCV=null, tcCV=null, soNguoiLam=null, soPhutHoanThanh=null, gioBD=null, phutBD=null, gioKT=null, phutKT=null]
Data [date=31-May-2021, shopId=6581.0, shiftBig=1.0, shiftSmall=11.0, shiftName=null, headCount=null, timeShiftSmall=null, timeShiftBig=null, jobName=null, loaiCV=null, tcCV=null, soNguoiLam=null, soPhutHoanThanh=null, gioBD=null, phutBD=null, gioKT=null, phutKT=null]
Data [date=31-May-2021, shopId=6581.0, shiftBig=1.0, shiftSmall=11.0, shiftName=null, headCount=null, timeShiftSmall=null, timeShiftBig=null, jobName=null, loaiCV=null, tcCV=null, soNguoiLam=null, soPhutHoanThanh=null, gioBD=null, phutBD=null, gioKT=null, phutKT=null]
Data [date=31-May-2021, shopId=6581.0, shiftBig=1.0, shiftSmall=11.0, shiftName=null, headCount=null, timeShiftSmall=null, timeShiftBig=null, jobName=null, loaiCV=null, tcCV=null, soNguoiLam=null, soPhutHoanThanh=null, gioBD=null, phutBD=null, gioKT=null, phutKT=null]
Data [date=31-May-2021, shopId=6581.0, shiftBig=1.0, shiftSmall=11.0, shiftName=null, headCount=null, timeShiftSmall=null, timeShiftBig=null, jobName=null, loaiCV=null, tcCV=null, soNguoiLam=null, soPhutHoanThanh=null, gioBD=null, phutBD=null, gioKT=null, phutKT=null]
Data [date=31-May-2021, shopId=6581.0, shiftBig=1.0, shiftSmall=11.0, shiftName=null, headCount=null, timeShiftSmall=null, timeShiftBig=null, jobName=null, loaiCV=null, tcCV=null, soNguoiLam=null, soPhutHoanThanh=null, gioBD=null, phutBD=null, gioKT=null, phutKT=null]
Data [date=31-May-2021, shopId=6581.0, shiftBig=1.0, shiftSmall=11.0, shiftName=null, headCount=null, timeShiftSmall=null, timeShiftBig=null, jobName=null, loaiCV=null, tcCV=null, soNguoiLam=null, soPhutHoanThanh=null, gioBD=null, phutBD=null, gioKT=null, phutKT=null]
Data [date=31-May-2021, shopId=6581.0, shiftBig=1.0, shiftSmall=12.0, shiftName=null, headCount=null, timeShiftSmall=null, timeShiftBig=null, jobName=null, loaiCV=null, tcCV=null, soNguoiLam=null, soPhutHoanThanh=null, gioBD=null, phutBD=null, gioKT=null, phutKT=null]
